,name,link,employer,salary_min,salary_max,salary_currency
169,Data Engineer,https://hh.ru/vacancy/41469811?query=Python,ООО Айти-Солюшнс,250000.0,,руб.
170,Middle разработчик Python / Django (удалённо),https://hh.ru/vacancy/42822407?query=Python,ООО Диджитал Пайн,60000.0,120000.0,руб.
171,Аналитик / Data Analyst (Product Analyst),https://hh.ru/vacancy/42814545?query=Python,ООО Далитикс,100000.0,,руб.
172,Python-разработчик,https://hh.ru/vacancy/42277259?query=Python, ivi,160000.0,200000.0,руб.
173,Разработчик Python,https://hh.ru/vacancy/41784502?query=Python,ООО Доверенная среда,180000.0,,руб.
174,Python QA Engineer Intern,https://hh.ru/vacancy/42674523?query=Python, ViCue Soft,,,
175,Бекенд Python-разработчик (Django),https://hh.ru/vacancy/42802585?query=Python,ООО Диджитал Линк,,,
176,Python developer,https://hh.ru/vacancy/30005963?query=Python, NetworkOptix,4000.0,,USD
177,Python-разработчик (Senior),https://hh.ru/vacancy/42602096?query=Python, Russian Quantum Center,150000.0,250000.0,руб.
178,Back-end разработчик Python,https://hh.ru/vacancy/42706234?query=Python, Insilico Medicine,160000.0,190000.0,руб.
179,Программист Python,https://hh.ru/vacancy/42226188?query=Python,ООО ФК ПУЛЬС,140000.0,180000.0,руб.
180,Ведущий аналитик данных/Data Analyst,https://hh.ru/vacancy/42957933?query=Python, Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,180000.0,220000.0,руб.
181,Data Scientist,https://hh.ru/vacancy/42713907?query=Python, COMPAREX,150000.0,250000.0,руб.
182,Backend python/Django разработчик,https://hh.ru/vacancy/42598849?query=Python,ООО БОЛЬШАЯ ТРОЙКА,120000.0,200000.0,руб.
183,Разработчик Python (middle Python developer),https://hh.ru/vacancy/42419682?query=Python,АО НПО АНГСТРЕМ,120000.0,150000.0,руб.
184,Младший компьютерный лингвист (Python),https://hh.ru/vacancy/42209146?query=Python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,120000.0,,руб.
185,Data Scientist / Quantitative Researcher,https://hh.ru/vacancy/39912622?query=Python,ООО Знаменка Капитал,250000.0,,руб.
